127.0.0.1 - - [21/Sep/2023:19:44:19 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [21/Sep/2023:19:44:33 +0900] "GET /semi01/ HTTP/1.1" 200 61709
0:0:0:0:0:0:0:1 - - [21/Sep/2023:19:44:33 +0900] "GET /semi01/resource/%EC%9D%B4%EB%AF%B8%EC%A7%80%EC%9E%90%EB%A3%8C/%EB%A5%98%EC%A7%80%EC%99%84%20%EC%83%98%ED%94%8C%EC%9D%B4%EB%AF%B8%EC%A7%80/%EB%A9%94%EC%9D%B8%ED%99%88_%EB%B0%B0%EB%84%88_%EC%95%8C%EB%9D%BC%EB%94%A92.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:19:44:33 +0900] "GET /semi01/resource/%EC%9D%B4%EB%AF%B8%EC%A7%80%EC%9E%90%EB%A3%8C/%EB%A5%98%EC%A7%80%EC%99%84%20%EC%83%98%ED%94%8C%EC%9D%B4%EB%AF%B8%EC%A7%80/%EB%A9%94%EC%9D%B8%ED%99%88_%EB%B0%B0%EB%84%88_%EB%AE%A4%EC%A7%81%EC%BB%AC_%ED%9B%84%ED%81%AC.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:19:44:33 +0900] "GET /semi01/resource/%EC%9D%B4%EB%AF%B8%EC%A7%80%EC%9E%90%EB%A3%8C/%EB%A5%98%EC%A7%80%EC%99%84%20%EC%83%98%ED%94%8C%EC%9D%B4%EB%AF%B8%EC%A7%80/%EB%A9%94%EC%9D%B8%ED%99%88_%EB%B0%B0%EB%84%88_%EB%B2%94%EC%A3%84%EB%8F%84%EC%8B%9C.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:19:44:33 +0900] "GET /semi01/resource/%EB%B0%B0%EB%84%88/%EB%B0%B0%EB%84%88_%EC%B2%B4%ED%97%98%EC%A0%84%EC%8B%9C_%EC%9D%B4%EC%84%B8%EA%B3%84.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:19:44:33 +0900] "GET /semi01/resource/logo/logo.png HTTP/1.1" 200 5132
0:0:0:0:0:0:0:1 - - [21/Sep/2023:19:44:33 +0900] "GET /semi01/resource/search.png HTTP/1.1" 200 4323
0:0:0:0:0:0:0:1 - - [21/Sep/2023:19:44:33 +0900] "GET /semi01/resource/%EB%B0%B0%EB%84%88/%EB%B0%B0%EB%84%88_%EC%95%A1%EC%85%98%EC%98%81%ED%99%94_%EB%B0%80%EC%88%98.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:19:44:33 +0900] "GET /semi01/resource/product_upfiles/%EA%B3%B5%ED%8F%AC,%EC%8A%A4%EB%A6%B4%EB%9F%AC%EC%98%81%ED%99%94_%ED%8F%AC%EC%8A%A4%ED%84%B0_%EB%B2%94%EC%A3%84%EB%8F%84%EC%8B%9C2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:19:44:33 +0900] "GET /semi01/resource/product_upfiles/%EB%AE%A4%EC%A7%80%EC%BB%AC%EA%B3%B5%EC%97%B0_%ED%8F%AC%EC%8A%A4%ED%84%B0_%ED%9B%84%ED%81%AC.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:19:44:33 +0900] "GET /semi01/resource/product_upfiles/%EB%A1%9C%EB%A7%A8%EC%8A%A4%EC%98%81%ED%99%94_%ED%8F%AC%EC%8A%A4%ED%84%B0_%EC%95%8C%EB%9D%BC%EB%94%98.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:19:44:33 +0900] "GET /semi01/resource/product_upfiles/%EA%B7%B8%EB%A6%BC%EC%A0%84%EC%8B%9C_%ED%8F%AC%EC%8A%A4%ED%84%B0_2023%20%EC%9D%B4%EC%84%B8%EA%B3%84%20%ED%8E%98%EC%8A%A4%ED%8B%B0%EB%B2%8C.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:19:44:33 +0900] "GET /semi01/resource/product_upfiles/%EC%95%A1%EC%85%98%EC%98%81%ED%99%94_%ED%8F%AC%EC%8A%A4%ED%84%B0_%EB%B0%80%EC%88%98.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:19:44:33 +0900] "GET /semi01/resource/product_upfiles/%EC%9E%91%ED%92%88%EC%A0%84%EC%8B%9C_%ED%8F%AC%EC%8A%A4%ED%84%B0_2023%20%EC%B2%AD%EC%A3%BC%EA%B3%B5%EC%98%88%EB%B9%84%EC%97%94%EB%82%A0%EB%A0%88%20(CHEONGJU%20CRAFT%20BIENNALE%202023).jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:19:44:33 +0900] "GET /semi01/resource/product_upfiles/%EC%BD%98%EC%84%9C%ED%8A%B8%EA%B3%B5%EC%97%B0_%ED%8F%AC%EC%8A%A4%ED%84%B0_%EA%B9%80%EC%B0%BD%EC%99%84%EB%B0%B4%EB%93%9C%20%EC%BD%98%EC%84%9C%ED%8A%B8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:19:44:33 +0900] "GET /semi01/resource/product_upfiles/%ED%81%B4%EB%9E%98%EC%8B%9D%EA%B3%B5%EC%97%B0_%ED%8F%AC%EC%8A%A4%ED%84%B0_%EA%B9%80%EA%B2%A8%EC%9A%B8%EC%9D%98%20%EC%9A%94%EC%A6%98%20%ED%81%B4%EB%9E%98%EC%8B%9D.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:19:44:33 +0900] "GET /semi01/resource/product_upfiles/%EA%B3%B5%ED%8F%AC,%EC%8A%A4%EB%A6%B4%EB%9F%AC%EC%98%81%ED%99%94_%ED%8F%AC%EC%8A%A4%ED%84%B0_%EB%8D%94%EB%A6%AC%ED%94%84%EC%96%B8%EB%8D%94%EC%9B%8C%ED%84%B0.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:19:44:33 +0900] "GET /semi01/resource/%EC%9D%B4%EB%AF%B8%EC%A7%80%EC%9E%90%EB%A3%8C/%EB%A5%98%EC%A7%80%EC%99%84%20%EC%83%98%ED%94%8C%EC%9D%B4%EB%AF%B8%EC%A7%80/%ED%8E%98%EC%9D%B4%EB%94%B1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:19:44:33 +0900] "GET /semi01/resource/product_upfiles/%EB%A1%9C%EB%A7%A8%EC%8A%A4%EC%98%81%ED%99%94_%ED%8F%AC%EC%8A%A4%ED%84%B0_%EC%96%B4%EB%8A%90%EB%A9%8B%EC%A7%84%EC%95%84%EC%B9%A8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:19:44:33 +0900] "GET /semi01/resource/product_upfiles/%EB%A1%9C%EB%A7%A8%EC%8A%A4%EC%98%81%ED%99%94_%ED%8F%AC%EC%8A%A4%ED%84%B0_%EC%97%98%EB%A6%AC%EB%A9%98%ED%83%88.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:19:44:33 +0900] "GET /semi01/resource/product_upfiles/%EA%B3%B5%ED%8F%AC,%EC%8A%A4%EB%A6%B4%EB%9F%AC%EC%98%81%ED%99%94_%ED%8F%AC%EC%8A%A4%ED%84%B0_%EC%9D%B8%EC%8B%9C%EB%94%94%EC%96%B4%EC%8A%A4%EB%B9%A8%EA%B0%84%EB%AC%B8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:19:44:33 +0900] "GET /semi01/resource/product_upfiles/%EC%BD%94%EB%AF%B8%EB%94%94%EC%98%81%ED%99%94_%ED%8F%AC%EC%8A%A4%ED%84%B0_%EA%B3%BC%EC%86%8D%EC%8A%A4%EC%BA%94%EB%93%A4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:19:44:33 +0900] "GET /semi01/resource/product_upfiles/%EC%BD%94%EB%AF%B8%EB%94%94%EC%98%81%ED%99%94_%ED%8F%AC%EC%8A%A4%ED%84%B0_%EC%97%91%EC%8B%9C%ED%8A%B8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:19:44:33 +0900] "GET /semi01/resource/product_upfiles/%EC%BD%94%EB%AF%B8%EB%94%94%EC%98%81%ED%99%94_%ED%8F%AC%EC%8A%A4%ED%84%B0_%ED%95%91%ED%81%AC%ED%90%81.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:19:44:33 +0900] "GET /semi01/resource/product_upfiles/%EC%95%A1%EC%85%98%EC%98%81%ED%99%94_%ED%8F%AC%EC%8A%A4%ED%84%B0_%EC%9E%94%EA%B3%A0.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:19:44:33 +0900] "GET /semi01/resource/product_upfiles/%EC%95%A1%EC%85%98%EC%98%81%ED%99%94_%ED%8F%AC%EC%8A%A4%ED%84%B0_%EB%B9%84%EA%B3%B5%EC%8B%9D%EC%9E%91%EC%A0%84.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:19:44:33 +0900] "GET /semi01/resource/product_upfiles/%EC%95%A1%EC%85%98%EC%98%81%ED%99%94_%ED%8F%AC%EC%8A%A4%ED%84%B0_%EC%8A%AC%EB%9E%A8%EB%8D%A9%ED%81%AC.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:19:44:33 +0900] "GET /semi01/resource/product_upfiles/%EA%B7%B8%EB%A6%BC%EC%A0%84%EC%8B%9C_%ED%8F%AC%EC%8A%A4%ED%84%B0_%EB%9D%BC%EC%9A%B8%20%EB%92%A4%ED%94%BC.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:19:44:33 +0900] "GET /semi01/resource/product_upfiles/%EA%B7%B8%EB%A6%BC%EC%A0%84%EC%8B%9C_%ED%8F%AC%EC%8A%A4%ED%84%B0_%EB%8D%B0%EC%9D%B4%EB%B9%84%EB%93%9C%20%ED%98%B8%ED%81%AC%EB%8B%88%20&%20%EB%B8%8C%EB%A6%AC%ED%8B%B0%EC%89%AC%20%ED%8C%9D%20%EC%95%84%ED%8A%B8%20%EB%B6%80%EC%82%B0.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:19:44:33 +0900] "GET /semi01/resource/product_upfiles/%EA%B7%B8%EB%A6%BC%EC%A0%84%EC%8B%9C_%ED%8F%AC%EC%8A%A4%ED%84%B0_%EC%97%90%EB%A6%AD%EC%9A%94%ED%95%B8%EB%9C%AC.jpg HTTP/1.1" 304 -
